CurrentTime,Mach,Alpha,CdOrg,CdMod,Thrust
0.0,0.012022478246061829,0.0,0.4694163975354251,0.325900183854961,0.0
0.005,0.012079327874279946,0.0,0.4690891496830428,0.325900183854961,0.0
0.005,0.012079327874279946,0.0,0.4690891496830428,0.277823930763448,152.18500000000003
0.01,0.012136177502498064,0.0,0.46876389438698407,0.277823930763448,152.18500000000003
0.01,0.012136177502498064,0.0,0.46876389438698407,0.277823930763448,304.37000000000006
0.015,0.012193027130716178,0.0,0.46844061007639193,0.277823930763448,304.37000000000006
0.015,0.012193027130716178,0.0,0.46844061007639193,0.277823930763448,456.555
0.02,0.012249876758934294,0.0,0.4681192755146208,0.277823930763448,456.555
0.02,0.012249876758934294,0.0,0.4681192755146208,0.277823930763448,608.7400000000001
0.025,0.012306726387152413,0.0,0.46779986979252075,0.277823930763448,608.7400000000001
0.025,0.012306726387152413,0.0,0.46779986979252075,0.277823930763448,760.9250000000001
0.03,0.012363576015370527,0.0,0.4674823723218852,0.277823930763448,760.9250000000001
0.03,0.012368158357262063,0.0,0.4674568630547937,0.277823930763448,913.11
0.034999999999999996,0.012438769556687794,0.0,0.4670653234021757,0.277823930763448,913.11
0.034999999999999996,0.012438765056853783,0.0,0.4670653484407499,0.277823930763448,913.11
0.04,0.01250939376952049,0.0,0.4666765847731066,0.277823930763448,913.11
0.04,0.012509393752304462,0.0,0.46667658486747987,0.277823930763448,913.11
0.045,0.012580039571459619,0.0,0.4662905642523566,0.277823930763448,913.11
0.045,0.012580034985603646,0.0,0.46629058939737866,0.277823930763448,913.1099999999999
0.05,0.012650697529513298,0.0,0.46590727898303536,0.277823930763448,913.1099999999999
0.05,0.012650697512044678,0.0,0.46590727907740886,0.277823930763448,913.11
0.055,0.012580292524785675,5.233833483042976E-9,0.4662891886709677,0.277823930763448,913.11
0.055,0.01261099057799797,5.61642541645471E-9,0.4661223287163081,0.277823930763448,2552.8583333333318
0.060000000000000005,0.012578772489911415,9.12298175355073E-9,0.46629747190134974,0.277823930763448,2552.8583333333318
0.060000000000000005,0.012578780777594152,8.649383479623236E-9,0.4662974247108102,0.277823930763448,4192.606666666668
0.065,0.012605503850931891,1.2580860927386106E-8,0.4661521256960436,0.277823930763448,4192.606666666668
0.065,0.012663390913396006,1.4396996378920672E-8,0.46583873712100965,0.277823930763448,5832.3550000000005
0.07,0.01280881867298551,2.164992324367498E-8,0.4650595518300786,0.277823930763448,5832.3550000000005
